cliente_id,channel_id,region
1009930516,870267989,COSTA ATLANTICA
-251572367,1625004744,COSTA ATLANTICA
1849877240,-1756013582,GBA MINORISTAS
485138065,541481139,GBA MINORISTAS
-663056030,870267989,GBA MINORISTAS
-357386980,1625004744,COSTA ATLANTICA
940252604,1625004744,COSTA ATLANTICA
-96150218,870267989,COSTA ATLANTICA
-1176344049,541481139,GBA MINORISTAS
-760407602,1625004744,COSTA ATLANTICA
1608675955,1625004744,COSTA ATLANTICA
2033530551,1759010777,COSTA ATLANTICA
-1309276846,870267989,GBA MINORISTAS
-1334758775,870267989,GBA MINORISTAS
-1520876662,1625004744,GBA MINORISTAS
-369582126,1759010777,GBA MINORISTAS
63568160,1759010777,COSTA ATLANTICA
-754959121,541481139,GBA MINORISTAS
1939667024,1625004744,COSTA ATLANTICA
-1822105654,870267989,COSTA ATLANTICA
-8416216,1625004744,COSTA ATLANTICA
1034534835,1625004744,GBA MINORISTAS
1744358247,541481139,COSTA ATLANTICA
-429095980,1625004744,COSTA ATLANTICA
627504880,541481139,GBA MINORISTAS
1551538584,870267989,COSTA ATLANTICA
-1983180039,1625004744,COSTA ATLANTICA
1172713514,1625004744,COSTA ATLANTICA
-1305938710,870267989,COSTA ATLANTICA
1731971772,1059805429,COSTA ATLANTICA
-879533818,1625004744,COSTA ATLANTICA
309433637,1625004744,COSTA ATLANTICA
-843205141,1625004744,COSTA ATLANTICA
-277964229,1759010777,COSTA ATLANTICA
-1375586069,541481139,COSTA ATLANTICA
-109223248,1625004744,COSTA ATLANTICA
-939048201,1759010777,COSTA ATLANTICA
206869290,870267989,COSTA ATLANTICA
1984177877,870267989,COSTA ATLANTICA
1655659318,651275377,COSTA ATLANTICA
725338869,1625004744,GBA MINORISTAS
1614278393,1625004744,COSTA ATLANTICA
-1197623400,1625004744,COSTA ATLANTICA
-217708773,870267989,COSTA ATLANTICA
-1323374664,1625004744,GBA MINORISTAS
-937746870,-1756013582,COSTA ATLANTICA
534842484,1625004744,COSTA ATLANTICA
-1717183602,541481139,GBA MINORISTAS
1542783662,870267989,GBA MINORISTAS
-56192293,1625004744,COSTA ATLANTICA
-763079515,1625004744,COSTA ATLANTICA
-1052089259,1759010777,COSTA ATLANTICA
-1144843745,1625004744,COSTA ATLANTICA
1973388955,1759010777,COSTA ATLANTICA
406438477,1625004744,COSTA ATLANTICA
-723512985,1625004744,COSTA ATLANTICA
862346626,1625004744,GBA MINORISTAS
1964293,1625004744,GBA MINORISTAS
1163526190,1759010777,COSTA ATLANTICA
216548486,870267989,COSTA ATLANTICA
-108372558,-1756013582,COSTA ATLANTICA
-2061685374,541481139,COSTA ATLANTICA
1081693193,541481139,COSTA ATLANTICA
-1495473615,1625004744,COSTA ATLANTICA
937254988,1625004744,COSTA ATLANTICA
1713534627,1625004744,COSTA ATLANTICA
